Species_Name,Collection_Number,Biomes,Habit,Habit_Sources,Continents,Continents_Sources
Bauhinia pulchella Benth.,9373,Rainforest+Savanna,Tree/Shrub,"Vaz & Tozzi, 2003; http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=en&grupo=5&familia=null&genero=Bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; Quieroz, 2009",South_America,Occurrence map
Bauhinia purpurea L.,4179,Rainforest+Savanna+Succulent,Tree/Shrub,"De Wit, 1956; Flora do Brasil 2020; Hô, 1991;https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2750; Flore de l'Indo-Chine p.127",Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481605-1
Bauhinia ramosissima Benth. ex Hemsl.,9366,Succulent,Tree/Shrub,"Wunderlin, 1983",North_America,Occurrence map;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30154-2
Bauhinia rufa (Bong.) Steud.,483,Savanna+Succulent,Tree/Shrub,"Vaz & Tozzi, 2003; Flora do Brasil 2020",South_America,Occurrence map
Bauhinia rufescens Lam.,9498,Savanna,Tree/Shrub,"Wunderlin, 1983",Africa,Occurrence map
Bauhinia saccocalyx Pierre,20838,Rainforest+Savanna,Tree/Shrub,"Vaz & Tozzi, 2003; Flora do Brasil 2020",Asia,Occurrence map
Bauhinia seleriana Harms,8570,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63146,Central_America+North_America,Occurrence map
Bauhinia seminarioi Harms ex Eggers,221,Rainforest,Tree/Shrub,"Hô, 1991; Flore générale de l'Indo-Chine p.198",South_America,Occurrence map
Bauhinia stenantha Diels,14404,Rainforest+Succulent,Tree/Shrub,"Wunderlin, 1983",South_America,Occurrence map
Bauhinia subclavata Benth.,9413101,Savanna+Succulent,Tree/Shrub,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30171-2,South_America,Occurrence map
