,,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,,,
scientificName,Number_Of_Occurrences,Succulent,Rainforest,Grass,Succulent_Rainforest_Overlap,Grass_Rainforest_Overlap,Other_Biomes,Succulent,Rainforest,Grass,Other_Biomes,Succulent_Rainforest_Overlap,Grass_Rainforest_Overlap,Biomes_with_>10%_Occurrences,Litterature_Based_Biomes,Source
Schnella scala-simiae (Sandwith) Trethowan & R.Clark,9,0,9,0,0,6,0,0.00,1.00,0.00,0.00,0.00,0.67,Rainforest,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm31c38f4bb-5b2a-471b-9860-5e74313ed730
Schnella siqueirae (Ducke) Wunderlin,40,0,36,0,4,14,0,0.00,1.00,0.00,0.00,0.10,0.35,Rainforest,Rainforest,"Vaz, 2010"
Schnella smilacina (Schott) G.Don,48,4,21,1,15,11,7,0.08,0.85,0.02,0.15,0.31,0.23,Rainforest,Rainforest,"Vaz, 2010; Flora do Brasil 2020"
Schnella splendens (Kunth) Benth.,172,2,163,3,0,74,4,0.01,0.94,0.02,0.02,0.00,0.43,Rainforest,Rainforest,"Vaz, 2010"
Schnella sprucei (Benth.) Wunderlin,7,0,7,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella stenoloba Britton & Killip,4,1,1,0,0,0,2,0.25,0.75,0.00,0.50,0.00,0.00,Rainforest - Succulent,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518027-1;
Schnella surinamensis (Amshoff) Wunderlin,26,0,26,0,0,4,0,0.00,1.00,0.00,0.00,0.00,0.15,Rainforest,Rainforest,"Vaz, 2010"
Schnella trichosepala (L.P.Queiroz) Wunderlin,81,71,2,2,2,1,4,0.88,0.09,0.02,0.05,0.02,0.01,Succulent,Savanna-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Schnella uleana (Harms) Wunderlin,15,0,15,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella umbriana Britton & Killip,4,0,3,1,0,0,0,0.00,0.75,0.25,0.00,0.00,0.00,Rainforest - Grass,Rainforest,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Schnella%20umbriana/; Castellanos & Lewis, 2012; see Trethowan 2015?"
Schnella vestita Benth.,2,0,0,0,0,0,2,0.00,0.00,0.00,1.00,0.00,0.00,Other,Rainforest,http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/schnella%20vestita/; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fsweetgum.nybg.org%2Fimages3%2F3649%2F619%2F04217828.jpg
Schnella vulpina (Rusby) Trethowan & R.Clark,2,0,0,0,0,0,2,0.00,0.00,0.00,1.00,0.00,0.00,Other,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fsweetgum.nybg.org%2Fimages3%2F2545%2F148%2F03196441.jpg
Tournaya gossweileri (Baker f.) A.Schmitz,25,0,24,1,0,0,0,0.00,0.96,0.00,0.04,0.00,0.00,Rainforest,Rainforest,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1
Tylosema angolense P.Silveira & S.Castro,3,0,0,3,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063994-1
Tylosema esculentum (Burch.) A.Schreib.,73,14,0,59,0,0,0,0.19,0.00,0.81,0.00,0.00,0.00,Grass - Rainforest,Savanna,https://plants.jstor.org/search?qtype=all&query=Bauhinia+bainesii; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69316
Tylosema fassoglense (Kotschy ex Schweinf.) Torre & Hillc.,99,49,0,43,0,0,7,0.49,0.00,0.43,0.07,0.00,0.00,Grass - Rainforest,Savanna-Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69317; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524264-1
Tylosema humifusum (Pic.Serm. & Roti Mich.) Brenan,6,5,0,1,0,0,0,0.83,0.00,0.17,0.00,0.00,0.00,Grass - Rainforest,Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69319
